0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 245.000,Adres,"Nieuwbeekstraat 1, 9300 Aalst",Type,Serviceflat (Appartement),Woonopp.,52 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2017,EPC,102 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 772,Vrij op,onmiddellijk,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KI6ZR,Days: 96,,,,,,,,,,
Prijs,€ 275.520,Adres,"Ninovesteenweg 218, 9320 Erembodegem",Type,Project,Woonopp.,vanaf 105 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/erembodegem-9300/te-koop/nieuwbouwproject/10048YS,Days: 731,,,,,,,,,,,,,,,,
Prijs,€ 249.000,Adres,"Ninovesteenweg 24 / 2, 9320 Erembodegem",Type,Appartement,Woonopp.,138 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,1993,EPC,220 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.618,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KHQCO,Days: 107,,,,,,,,,,
Prijs,€ 599.000,Adres,"Nieuwbeekstraat 4 / 42, 9300 Aalst",Type,Appartement,Woonopp.,170 m²,Slaapkamers,3,Badkamers,2,Garages,1,Tuin,Z,Bouwjaar,2009,EPC,152 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 2.395,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIJVU,Days: 23,,,,,,,,
Prijs,€ 295.000,Adres,"De Schrijverstraat 3, 9300 Aalst",Type,Woning (Huis),Woonopp.,141 m²,Grondopp.,60 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1930,EPC,155 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 376,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJLW,Days: 75,,,,,,
Prijs,€ 339.000,Adres,"Jan Jeliestraat 49, 9300 Aalst",Type,Hoekwoning (Huis),Woonopp.,150 m²,Grondopp.,126 m²,Slaapkamers,4,Badkamers,1,Tuin,ZW,Bebouwing,halfopen,Bouwjaar,1962,EPC,267 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 557,Vrij op,overeen te komen,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJJ2,Days: 67,,,,
Prijs,€ 1.595.000,Adres,"Tinnenhoekstraat 14, 9310 Moorsel",Type,Villa (Huis),Woonopp.,1.107 m²,Grondopp.,4.300 m²,Slaapkamers,4,Badkamers,3,Garages,1,Tuin,ZO,Bebouwing,open,Bouwjaar,2013,EPC,90 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.862,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/moorsel-9310/te-koop/huis/KIJFB,Days: 50
Prijs,€ 239.000,Adres,"Binnenstraat 300, 9300 Aalst",Type,Kantoor (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,854 m²,Handelsopp.,125 m²,Bebouwing,halfopen,Bouwjaar,2009,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 1.039,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIIF3,Days: 9,,,,,,,,
Prijs,€ 589.000,Adres,"Peperstraat 14, 9300 Aalst",Type,Appartement,Woonopp.,257 m²,Slaapkamers,3,Badkamers,2,Tuin,NW,Bouwjaar,1994,EPC,160 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIJ8N,Days: 26,,,,,,,,,,
Prijs,€ 589.000,Adres,"Peperstraat 14, 9300 Aalst",Type,Huis,Woonopp.,257 m²,Grondopp.,200 m²,Slaapkamers,3,Badkamers,2,Tuin,NW,Bebouwing,gesloten,Bouwjaar,1994,EPC,160 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJ84,Days: 61,,,,,,
Prijs,€ 345.000,Adres,"Binnenstraat 33 / 2, 9300 Aalst",Type,Appartement,Woonopp.,175 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,90 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIJ36,Days: 38,,,,,,,,,,,,,,
Prijs,€ 239.000,Adres,"Binnenstraat 300, 9300 Aalst",Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,854 m²,Handelsopp.,125 m²,Bebouwing,halfopen,Bouwjaar,2009,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 1.039,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIIF4,Days: 13,,,,,,,,
Prijs,€ 175.000,Adres,"Termurenlaan 12, 9320 Erembodegem",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,op aanvraag »,Handelsopp.,100 m²,Bebouwing,op aanvraag »,Bouwjaar,2011,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/KIGYW,Days: 24,,,,,,,,,,
Prijs,€ 290.000,Adres,"Sinte-Annalaan 194, 9300 Aalst",Type,Bel-étage (Huis),Woonopp.,293 m²,Grondopp.,168 m²,Slaapkamers,3,Badkamers,1,Garages,1,Tuin,W,Bebouwing,gesloten,Bouwjaar,1953,EPC,802 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.455,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIGKM,Days: 71,,,,
Prijs,€ 279.000,Adres,"Nieuwbeekstraat 1 / 403, 9300 Aalst",Type,Woning (Huis),Woonopp.,73 m²,Grondopp.,73 m²,Slaapkamers,1,Badkamers,1,Bebouwing,gesloten,Bouwjaar,2021,EPC,108 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIGKJ,Days: 26,,,,,,,,,,
Prijs,€ 179.995,Adres,"Koolstraat 123, 9300 Aalst",Type,Appartement,Woonopp.,184 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1973,EPC,0 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.879,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIGKG,Days: 42,,,,,,,,,,,,
Prijs,€ 189.000,Adres,"Kerkskendorp 39, 9300 Aalst",Type,Appartement,Woonopp.,129 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,1994,EPC,270 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 840,Vrij op,overeen te komen,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIGK9,Days: 29,,,,,,,,
Prijs,€ 318.000,Adres,"Bergstraat 12, 9320 Nieuwerkerken",Type,Eengezinswoning (Huis),Woonopp.,279 m²,Grondopp.,510 m²,Slaapkamers,4,Badkamers,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,424 kWh/m²,Renovatieplicht,Van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/JPCRC,Days: 64,,,,,,,,
