0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 675.000,Adres,"Erembodegem-Dorp 45, 9300 Aalst",Type,Appartementsgebouw (Appartement),Woonopp.,op aanvraag »,Slaapkamers,2,Badkamers,3,Bouwjaar,1948,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,na opzeg huur overeenkomst,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KH4O6,Days: 185,,,,,,,,,,,,
Prijs,€ 275.520,Adres,"Ninovesteenweg 218, 9320 Erembodegem",Type,Project,Woonopp.,vanaf 105 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,Bekijk info,https://www.zimmo.be/nl/erembodegem-9300/te-koop/nieuwbouwproject/10048YS,Days: 723,,,,,,,,,,,,,,,,
Prijs,€ 195.000,Adres,"Brusselbaan 78 / 3, 9320 Erembodegem",Type,Appartement,Woonopp.,92 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,op aanvraag »,EPC,168 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 713,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KBQ9E,Days: 394,,,,,,,,
Prijs,€ 100.000,Adres,"Autostradelaan, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,1.437 m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KIJ0C,,,,,,,,,,,,,,,,,,,,,
Prijs,€ 175.000,Adres,"Termurenlaan 12, 9320 Erembodegem",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,op aanvraag »,Handelsopp.,100 m²,Bebouwing,op aanvraag »,Bouwjaar,2011,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/KIGYW,Days: 1,,,,,,,,,,
Prijs,€ 172.000,Adres,"Termurenlaan 12 / 3.4, 9320 Erembodegem",Type,Duplex (Appartement),Woonopp.,55 m²,Slaapkamers,1,Bouwjaar,2008,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KIGYU,Days: 3,,,,,,,,,,,,,,
Prijs,€ 385.000,Adres,"Fazantenlaan 2A, 9320 Erembodegem",Type,Bungalow (Huis),Woonopp.,136 m²,Grondopp.,923 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1990,EPC,351 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.177,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIDZ8,Days: 123,,,,,,
Prijs,€ 259.000,Adres,"Kromme Elleboogstraat 24, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,230 m²,Grondopp.,377 m²,Slaapkamers,4,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,662 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 378,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIAZX,Days: 178,,,,,,
Prijs,€ 299.000,Adres,"Keppestraat 59, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,224 m²,Grondopp.,180 m²,Slaapkamers,4,Badkamers,2,Garages,1,Bebouwing,gesloten,Bouwjaar,1987,EPC,173 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 929,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KIASZ,Days: 271,,,,
Prijs,Prijs op aanvraag »,Adres,"Ninovesteenweg 97 bus 41, 9300 Aalst",Type,Uitzonderlijke woning (Huis),Woonopp.,450 m²,Grondopp.,op aanvraag »,Slaapkamers,3,Badkamers,2,Garages,3,Bebouwing,open,Bouwjaar,2010,EPC,101 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 3.309,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIA0A,Days: 286,,,,
Prijs,Prijs op aanvraag »,Adres,"Ninovesteenweg 97 bus 41, 9300 Aalst",Type,Penthouse (Appartement),Woonopp.,450 m²,Slaapkamers,3,Badkamers,2,Garages,3,Bouwjaar,2010,EPC,101 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 3.309,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIA09,Days: 169,,,,,,,,
Prijs,€ 629.000,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Villa (Huis),Woonopp.,258 m²,Grondopp.,581 m²,Slaapkamers,3,Badkamers,2,Garages,1,Tuin,Z,Bebouwing,open,Bouwjaar,op aanvraag »,EPC,131 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.740,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI9AI,Days: 124,
Prijs,€ 309.750,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Appartement,Woonopp.,95 m²,Slaapkamers,2,Badkamers,1,Tuin,ZW,Bouwjaar,2023,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/appartement/KI901,Days: 43,,,,,,,,,,,
Prijs,€ 175.000,Adres,"Termurenlaan 12, 9320 Erembodegem",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,op aanvraag »,Handelsopp.,100 m²,Bebouwing,op aanvraag »,Bouwjaar,2011,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/KI7IK,Days: 52,,,,,,,,,,
Prijs,€ 299.000,Adres,"Sint-Amandstraat 30, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,165 m²,Grondopp.,1.680 m²,Slaapkamers,3,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,526 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 688,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI4ZD,Days: 339,,,,,,,,
Prijs,€ 479.000,Adres,"Hageveld 20, 9320 Erembodegem",Type,Woning (Huis),Woonopp.,210 m²,Grondopp.,1.230 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1995,EPC,244 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.340,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KI0XZ,Days: 196,,,,
Prijs,€ 668.451,Adres,"Straat niet gekend,",9320 Erembodegem,Type,Woning (Huis),Woonopp.,242 m²,Grondopp.,637 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/erembodegem-9320/te-koop/huis/KHUBH,Days: 52,,,,,,,
Prijs,€ 88.000,Adres,"Alfons van de Maelestraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,"564,46 m²",Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,Video,Klik hier,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNQ,Days: 87,,,,,,,,,,,,,,,,
Prijs,€ 192.000,Adres,"Alfons van de Maelestraat, 9320 Erembodegem",Type,Bouwgrond (Grond),Grondopp.,"1.065,71 m²",Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/erembodegem-9320/te-koop/grond/KHSNT,Days: 63,,,,,,,,,,,,,,,,,,,,
