0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Prijs,€ 649.500,Adres,"Belpairestraat 20, 2600 Berchem",Type,Penthouse (Appartement),Woonopp.,op aanvraag »,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KH22L,Days: 102,,,,,,,,,,,,,,
Prijs,Prijs op aanvraag »,Adres,"Kernenergiestraat 45, 2610 Wilrijk",Type,Bedrijfsgebouw (Bedrijfsvastgoed),Woonopp.,256 m²,Grondopp.,op aanvraag »,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij oplevering,https://www.zimmo.be/nl/wilrijk-2610/te-koop/bedrijfsvastgoed/KGTK2,Days: 32,,,,,,,,,,
Prijs,€ 269.000,Adres,"Straat niet gekend,",2000 Antwerpen,Type,Appartement,Woonopp.,54 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,99 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/antwerpen-2000/te-koop/appartement/K69NT,Days: 593,,,,,,,,,,,,,
Prijs,€ 750.000,Adres,"Sint-Hubertusstraat 44, 2600 Berchem",Type,Woning (Huis),Woonopp.,189 m²,Grondopp.,242 m²,Slaapkamers,4,Badkamers,2,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,270 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/berchem-2600/te-koop/huis/KILIO,Days: 9,,,,,,,,,,
Prijs,€ 115.000,Adres,"Lange Dijkstraat 101 / 5, 2060 Antwerpen",Type,Studio met slaaphoek (Appartement),Woonopp.,23 m²,Slaapkamers,op aanvraag »,Bouwjaar,op aanvraag »,EPC,199 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2060/te-koop/appartement/KELH4,Days: 1025,,,,,,,,,,,,,,
Prijs,€ 340.000,Adres,"Fruithoflaan 7, 2600 Berchem",Type,Appartement,Woonopp.,110 m²,Slaapkamers,2,Badkamers,1,Tuin,Z,Bouwjaar,1960,EPC,140 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,onmiddellijk,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KILDY,Days: 19,,,,,,,,,,
Prijs,€ 15.000,Adres,"Kanunnik Peetersstraat 47, 2600 Berchem",Type,Garagebox (Garage),Garages,1,Bebouwing,op aanvraag »,Bouwjaar,1996,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/berchem-2600/te-koop/garage/KILCU,Days: 13,,,,,,,,,,,,,,
Prijs,€ 595.000,Adres,"Zusters van onze lieve vrouwstraat 3, 2170 Merksem",Type,Gemengd gebruik (Huis),Woonopp.,op aanvraag »,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,0 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/merksem-2170/te-koop/huis/KILH5,Days: 24,,,,,,,,,,
Prijs,€ 389.000,Adres,"Jan Van Rijswijcklaan 194 C, 2020 Antwerpen",Type,Appartement,Woonopp.,135 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,1957,EPC,330 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.425,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/antwerpen-2020/te-koop/appartement/KILH3,Days: 13,,,,,,,,,,
Prijs,€ 225.000,Adres,"Kanunnik Peetersstraat 47 / 5, 2600 Berchem",Type,Appartement,Woonopp.,138 m²,Slaapkamers,3,Badkamers,2,Bouwjaar,1996,EPC,97 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,Video,Klik hier,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KILCV,Days: 38,,,,,,,,
Prijs,€ 569.000,Adres,"Frans Beckersstraat 82, 2600 Berchem",Type,Herenhuis (Huis),Woonopp.,213 m²,Grondopp.,188 m²,Slaapkamers,4,Badkamers,2,Garages,1,Tuin,ZW,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,116 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/berchem-2600/te-koop/huis/KILCL,Days: 93,,,,,,
Prijs,€ 380.000,Adres,"Lange Kongostraat 47, 2060 Antwerpen",Type,Dakappartement (Appartement),Woonopp.,108 m²,Slaapkamers,2,Bouwjaar,1976,EPC,276 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/antwerpen-2060/te-koop/appartement/KILB8,Days: 24,,,,,,,,,,,,,,,,
Prijs,€ 315.000,Adres,"Fruithoflaan 100 / 25, 2600 Berchem",Type,Appartement,Woonopp.,86 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1963,EPC,180 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 887,https://www.zimmo.be/nl/berchem-2600/te-koop/appartement/KIL9E,Days: 22,,,,,,,,,,,,
Prijs,€ 399.000,Adres,"Quinten Matsijslei 7, 2018 Antwerpen",Type,Appartement,Woonopp.,152 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,1962,EPC,284 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.353,https://www.zimmo.be/nl/antwerpen-2018/te-koop/appartement/KIL9D,Days: 56,,,,,,,,,,
Prijs,€ 499.000,Adres,"Sint-Bernardsesteenweg 347, 2660 Hoboken",Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,204 m²,Grondopp.,93 m²,Handelsopp.,op aanvraag »,Badkamers,3,Garages,2,Bebouwing,gesloten,Bouwjaar,1963,EPC,418 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.757,https://www.zimmo.be/nl/hoboken-2660/te-koop/bedrijfsvastgoed/KIL8T,Days: 12,,,,,,
