0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Prijs,€ 189.000,Adres,"Straat niet gekend,",1020 Laken,Type,Appartement,Woonopp.,63 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,op aanvraag »,EPC,302 kWh/m²,Energieklasse,Vrij op,overeen te komen,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KI5ZI,Days: 179,,,,,,,,,,
Prijs,€ 400.000,Adres,"Avenue Livingstone 6, 1000 Brussel",Type,Appartement,Woonopp.,76 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2014,EPC,79 kWh/m²,Energieklasse,KI,€ 1.854,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIMTL,Days: 13,,,,,,,,,,,
Prijs,€ 485.000,Adres,"Gulden Vlieslaan 17 / 50, 1050 Elsene",Type,Appartement,Woonopp.,70 m²,Slaapkamers,1,Badkamers,1,Bouwjaar,2020,EPC,73 kWh/m²,Energieklasse,KI,€ 1.669,Vrij op,overeen te komen,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KI2QW,Days: 64,,,,,,,
Prijs,€ 500.000,Adres,"Straat niet gekend,",1000 Brussel,Type,Appartement,Woonopp.,121 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,op aanvraag »,EPC,79 kWh/m²,Energieklasse,KI,€ 635,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI8I8,Days: 105,,,,,,,,
Prijs,€ 399.000,Adres,"Groendreef 2 / G7.4, 1000 Brussel",Type,Appartement,Woonopp.,80 m²,Slaapkamers,op aanvraag »,Bouwjaar,2019,EPC,105 kWh/m²,Energieklasse,KI,€ 1.420,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KD8YK,Days: 321,,,,,,,,,,,,,
Prijs,€ 285.000,Adres,"Steenbakkerijstraat 13, 1020 Laken",Type,Project,Woonopp.,vanaf 86 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2024,EPC,Bekijk info,https://www.zimmo.be/nl/laken-1020/te-koop/nieuwbouwproject/1004CET,Days: 195,,,,,,,,,,,,,,
Prijs,€ 285.000,Adres,"steenbakkerijstraat 13, 1000 Brussel",Type,Project,Woonopp.,vanaf 86 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2024,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004CER,Days: 195,,,,,,,,,,,,,,
Prijs,€ 545.000,Adres,"Avenue Louise - Louizalaan 304 / 5.1, 1050 Elsene",Type,Appartement,Woonopp.,129 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,2009,EPC,124 kWh/m²,Energieklasse,KI,€ 2.263,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KIMQ2,Days: 57,,,,,,,,,,,
Prijs,€ 285.000,Adres,"Rue de la Briqueterie - Steenbak 15, 1020 Laken",Type,Project,Woonopp.,vanaf 86 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2021,EPC,Bekijk info,https://www.zimmo.be/nl/laken-1020/te-koop/nieuwbouwproject/10048BC,Days: 1041,,,,,,,,,,,,,,
Prijs,Prijs op aanvraag »,Adres,"Quai au Foin 59/65, 1000 Brussel",Type,Project,Woonopp.,vanaf 48 m²,Grondopp.,op aanvraag »,Slaapkamers,op aanvraag »,Bouwjaar,2023,EPC,Bekijk info,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004BU5,Days: 668,,,,,,,,,,,,,,
