0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 18.000,Adres,"Sassevaartstraat 41, 9000 Gent",Type,Garage,Bebouwing,op aanvraag »,Bouwjaar,2016,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 62,https://www.zimmo.be/nl/gent-9000/te-koop/garage/KAXYX,Days: 105,,,,,,,,,,,,,,,,,,
Prijs,€ 359.000,Adres,"Keizer Karelstraat 198 / 1.01, 9000 Gent",Type,Appartement,Woonopp.,70 m²,Slaapkamers,2,Badkamers,2,Bouwjaar,op aanvraag »,EPC,159 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KGF5E,Days: 665,,,,,,,,,,,,,,,,
Prijs,€ 339.000,Adres,"Peter Benoitlaan 102, 9050 Gentbrugge",Type,Woning (Huis),Woonopp.,150 m²,Grondopp.,200 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,1994,EPC,152 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 562,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/huis/KICUX,Days: 414,,,,,,
Prijs,€ 470.000,Adres,"Kliniekstraat 102, 9050 Gentbrugge",Type,Gemengd gebruik (Huis),Woonopp.,285 m²,Grondopp.,151 m²,Slaapkamers,3,Badkamers,1,Garages,1,Tuin,W,Bebouwing,gesloten,Bouwjaar,1894,EPC,220 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 458,Vrij op,overeen te komen,https://www.zimmo.be/nl/gentbrugge-9050/te-koop/huis/KILCT,,,,,
Prijs,€ 800.000,Adres,"Brabantdam 73, 9000 Gent",Type,Commercieel Gebouw (Bedrijfsvastgoed),Woonopp.,389 m²,Grondopp.,59 m²,Handelsopp.,op aanvraag »,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/bedrijfsvastgoed/KFX5A,Days: 234,,,,,,,,,,,,,,
Prijs,€ 1.550.000,Adres,"Baarledorpstraat 93 / A, 9031 Drongen",Type,Appartement,Woonopp.,162 m²,Slaapkamers,3,Badkamers,2,Garages,2,Bouwjaar,2023,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/drongen-9031/te-koop/appartement/KIL9R,Days: 11,,,,,,,,,,,,,,
Prijs,€ 459.000,Adres,"Bollebergen 33, 9052 Zwijnaarde",Type,Woning (Huis),Woonopp.,141 m²,Grondopp.,147 m²,Slaapkamers,3,Badkamers,1,Tuin,W,Bebouwing,op aanvraag »,Bouwjaar,1918,EPC,198 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 297,https://www.zimmo.be/nl/zwijnaarde-9052/te-koop/huis/KIL3M,Days: 132,,,,,,,,
Prijs,€ 1.695.000,Adres,"Baarledorpstraat 93 / C, 9031 Drongen",Type,Appartement,Woonopp.,"180,84 m²",Slaapkamers,3,Badkamers,2,Garages,2,Bouwjaar,2023,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/drongen-9031/te-koop/appartement/KIL9S,Days: 9,,,,,,,,,,,,,,
Prijs,€ 292.906,Adres,"Rijvisschestraat 126, 9000 Gent",Type,Project,Woonopp.,vanaf 76 m²,Grondopp.,vanaf 76 m²,Slaapkamers,op aanvraag »,Bouwjaar,2021,EPC,Bekijk info,https://www.zimmo.be/nl/gent-9000/te-koop/nieuwbouwproject/1004DT5,Days: 0,,,,,,,,,,,,,,,,,,
Prijs,€ 275.000,Adres,"Ganzendries 81, 9000 Gent",Type,Appartement,Woonopp.,91 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bouwjaar,1968,EPC,657 kWh/m²,Renovatieplicht,Van toepassing,https://www.zimmo.be/nl/gent-9000/te-koop/appartement/KIL7V,Days: 14,,,,,,,,,,,,,,
