Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp,Slaapkamers,Badkamers,Grondopp,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp,First,Last,Scraped
,,,,,,,,,,,,,,,,,,,2023-10-12
,,,,,,,,,,,,,,,,,,,2023-10-12
K5XGO,147000.0, Brouwerijstraat 2,9300 Aalst , Kantoor ( Bedrijfsvastgoed ), opaanvraag Â», Inaanvraag ,102.0,,,102.0, opaanvraag Â»,,,8.0,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/K5XGO, opaanvraag Â»,2023-10-04,,2023-10-12
KHZN1,489000.0, Straatnietgekend ,, Woning ( Huis ),2010,96 k Wh / m Â²,210.0,5,1.0,, gesloten ,1.0,,40.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KHZN1, opaanvraag Â»,2023-09-02,,2023-10-12
KGF9B,950000.0, Straatnietgekend ,, Villa - landhuis ( Huis ),1948,282 k Wh / m Â²,,4,2.0,3616.0, open ,1.0,,158.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KGF9B, opaanvraag Â»,2023-05-07,,2023-10-12
KI30G,698000.0, Capucienenlaan 33,9300 Aalst , Commercieel Gebouw ( Bedrijfsvastgoed ), opaanvraag Â»,220 k Wh / m Â²,366.0,4,3.0,90.0, gesloten ,1.0,,2.0,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KI30G, opaanvraag Â»,2023-10-10,,2023-10-12
KIR0U,312000.0, Stationweg 14,9320 Nieuwerkerken , Woning ( Huis ),1954,1379 k Wh / m Â²,150.0,2,1.0,4932.0, open ,1.0,,2.0,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/KIR0U, opaanvraag Â»,2023-10-10,,2023-10-12
KIQXL,285000.0, Edixvelde 22 a /12,9320 Nieuwerkerken , Appartement ,2016,67 k Wh / m Â²,106.0,2,1.0,4932.0, open ,1.0,,2.0,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/appartement/KIQXL, opaanvraag Â»,2023-10-10,,2023-10-12
KIR0V,312000.0, Stationweg 14,9320 Nieuwerkerken , Bouwgrond ( Grond ),2016,67 k Wh / m Â²,106.0,2,1.0,4932.0, open ,1.0,,2.0,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/grond/KIR0V, opaanvraag Â»,2023-10-10,,2023-10-12
KIQWD,250000.0, Gentsesteenweg 101,9300 Aalst , Woning ( Huis ), opaanvraag Â»,390 k Wh / m Â²,152.0,2,1.0,362.0, gesloten ,1.0,,5.0,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIQWD, opaanvraag Â»,2023-10-07,,2023-10-12
KIQXQ,285000.0, Edixvelde 22/12,9320 Nieuwerkerken , Duplex ( Appartement ),2016,60 k Wh / m Â²,105.0,2,1.0,362.0, gesloten ,1.0,,2.0,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/appartement/KIQXQ, opaanvraag Â»,2023-10-10,,2023-10-12
KIQLB,645000.0, Leode B Ã© thunelaan 45,9300 Aalst , Kantoormetwoning ( Bedrijfsvastgoed ),1953, Inaanvraag ,,2,1.0,300.0, gesloten ,1.0,,1.0,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIQLB,750 m Â²,2023-10-11,,2023-10-12
